iter	RMSE
0	0.2820879686
1	0.2577280648
2	0.2357341961
3	0.215986626
4	0.1988566332
5	0.1815736915
6	0.1679354057
7	0.1535362609
8	0.1409818006
9	0.128816974
10	0.1184012214
11	0.1087243442
12	0.1001273202
13	0.0920360407
14	0.08394069727
15	0.07777707485
16	0.07103376055
17	0.06489612016
18	0.06031865538
19	0.05640602349
20	0.05183019702
21	0.04789724487
22	0.04425837406
23	0.04118398428
24	0.03851885981
25	0.03546654321
26	0.0329543468
27	0.03068562909
28	0.0286136376
29	0.02718395528
30	0.02565731486
31	0.02381262883
32	0.02218388698
33	0.0208839453
34	0.01978742516
35	0.01879497295
36	0.01802816018
37	0.01713323581
38	0.01649055988
39	0.01567268799
40	0.01497623362
41	0.01442478669
42	0.01381967442
43	0.01322315366
44	0.01265855754
45	0.01219552314
46	0.01171350075
47	0.0113234263
48	0.01093493431
49	0.01052224213
50	0.01020425967
51	0.009845630557
52	0.009564354008
53	0.009289505285
54	0.009080939137
55	0.008781888296
56	0.008515661832
57	0.008285680918
58	0.00802528822
59	0.007768619017
60	0.007601163406
61	0.007381726956
62	0.007210767589
63	0.006991623976
64	0.006812046352
65	0.006638300441
66	0.006466970124
67	0.00633874094
68	0.006143949169
69	0.005982698053
70	0.005776802743
71	0.005589632686
72	0.005390361304
73	0.005257960216
74	0.005137454125
75	0.004998665251
76	0.004868799269
77	0.004688756717
78	0.004547427136
79	0.004434001677
80	0.004300943287
81	0.004201434366
82	0.004115156297
83	0.0040618826
84	0.004031163963
85	0.003907340498
86	0.003870919325
87	0.00377614214
88	0.003748646242
89	0.003656407536
90	0.003567042876
91	0.003540828606
92	0.003517390204
93	0.00350315229
94	0.003433050166
95	0.003361806678
96	0.003293617165
97	0.003270417829
98	0.003216737468
99	0.003169771
